molecular formula,mass,abundance
C20H26D0N2O5,374.2,100.0
C20H26D0N2O5,375.2,22.9
C20H26D0N2O5,376.2,3.5
C20H26D0N2O5,377.2,0.4
C20H25DN2O5,375.2,100.0
C20H25DN2O5,376.2,22.9
C20H25DN2O5,377.2,3.5
C20H25DN2O5,378.2,0.4
C20H24D2N2O5,376.2,100.0
C20H24D2N2O5,377.2,22.9
C20H24D2N2O5,378.2,3.5
C20H24D2N2O5,379.2,0.4
C20H23D3N2O5,377.2,100.0
C20H23D3N2O5,378.2,22.9
C20H23D3N2O5,379.2,3.5
C20H23D3N2O5,380.2,0.4
C20H22D4N2O5,378.2,100.0
C20H22D4N2O5,379.2,22.9
C20H22D4N2O5,380.2,3.5
C20H22D4N2O5,381.2,0.4
C20H21D5N2O5,379.2,100.0
C20H21D5N2O5,380.2,22.9
C20H21D5N2O5,381.2,3.5
C20H21D5N2O5,382.2,0.4
C20H20D6N2O5,380.2,100.0
C20H20D6N2O5,381.2,22.8
C20H20D6N2O5,382.2,3.5
C20H20D6N2O5,383.2,0.4
C20H19D7N2O5,381.2,100.0
C20H19D7N2O5,382.2,22.8
C20H19D7N2O5,383.2,3.5
C20H19D7N2O5,384.2,0.4
C20H18D8N2O5,382.2,100.0
C20H18D8N2O5,383.2,22.8
C20H18D8N2O5,384.2,3.5
C20H18D8N2O5,385.2,0.4
C20H17D9N2O5,383.2,100.0
C20H17D9N2O5,384.2,22.8
C20H17D9N2O5,385.2,3.5
C20H17D9N2O5,386.2,0.4
C20H16D10N2O5,384.2,100.0
C20H16D10N2O5,385.3,22.8
C20H16D10N2O5,386.3,3.5
C20H16D10N2O5,387.3,0.4
C20H15D11N2O5,385.3,100.0
C20H15D11N2O5,386.3,22.8
C20H15D11N2O5,387.3,3.5
C20H15D11N2O5,388.3,0.4
C20H14D12N2O5,386.3,100.0
C20H14D12N2O5,387.3,22.8
C20H14D12N2O5,388.3,3.5
C20H14D12N2O5,389.3,0.4
C20H13D13N2O5,387.3,100.0
C20H13D13N2O5,388.3,22.8
C20H13D13N2O5,389.3,3.5
C20H13D13N2O5,390.3,0.4
C20H12D14N2O5,388.3,100.0
C20H12D14N2O5,389.3,22.7
C20H12D14N2O5,390.3,3.5
C20H12D14N2O5,391.3,0.4
C20H11D15N2O5,389.3,100.0
C20H11D15N2O5,390.3,22.7
C20H11D15N2O5,391.3,3.5
C20H11D15N2O5,392.3,0.4
C20H10D16N2O5,390.3,100.0
C20H10D16N2O5,391.3,22.7
C20H10D16N2O5,392.3,3.5
C20H10D16N2O5,393.3,0.4
C20H9D17N2O5,391.3,100.0
C20H9D17N2O5,392.3,22.7
C20H9D17N2O5,393.3,3.5
C20H9D17N2O5,394.3,0.4
C20H8D18N2O5,392.3,100.0
C20H8D18N2O5,393.3,22.7
C20H8D18N2O5,394.3,3.5
C20H8D18N2O5,395.3,0.4
C20H7D19N2O5,393.3,100.0
C20H7D19N2O5,394.3,22.7
C20H7D19N2O5,395.3,3.5
C20H7D19N2O5,396.3,0.4
C20H6D20N2O5,394.3,100.0
C20H6D20N2O5,395.3,22.7
C20H6D20N2O5,396.3,3.5
C20H6D20N2O5,397.3,0.4
C20H5D21N2O5,395.3,100.0
C20H5D21N2O5,396.3,22.7
C20H5D21N2O5,397.3,3.5
C20H5D21N2O5,398.3,0.4
C20H4D22N2O5,396.3,100.0
C20H4D22N2O5,397.3,22.7
C20H4D22N2O5,398.3,3.5
C20H4D22N2O5,399.3,0.4
C20H3D23N2O5,397.3,100.0
C20H3D23N2O5,398.3,22.6
C20H3D23N2O5,399.3,3.5
C20H3D23N2O5,400.3,0.4
C20H2D24N2O5,398.3,100.0
C20H2D24N2O5,399.3,22.6
C20H2D24N2O5,400.3,3.5
C20H2D24N2O5,401.3,0.4
